Pāli1	count
āroceti	283.0
ājānāti	282.0
upādāya	281.0
nāpara	281.0
dhana	279.0
avijjā	278.0
domanassa	278.0
saṅkhā	278.0
pacchima	277.0
mukha	277.0
gāmaṇi	277.0
samāhita	277.0
pīti	276.0
saṃsandati	276.0
dūra	274.0
nara	273.0
dhammika	270.0
parihāyati	270.0
vigarahi	270.0
cuta	269.0
tīra	269.0
upakkilesa	269.0
gati	269.0
sassata	269.0
anāsava	268.0
vadamāna	268.0
dinna	267.0
vacanīya	267.0
vatthu	267.0
vana	266.0
khīṇa	266.0
sādhukaṃ	265.0
gantvā	265.0
pāṇa	265.0
aneka	265.0
gilāna	265.0
yādisa	264.0
bhariyā	263.0
kevala	263.0
bahula	262.0
vimuccati	262.0
sammodi	261.0
aṭṭhāsi	261.0
āhāra	260.0
vepulla	259.0
bhāvanā	258.0
pacchā	258.0
jīva	256.0
vuddhi	255.0
puthujjana	255.0
vītisāretvā	255.0
hattha	254.0
vivicca	254.0
sammodanīya	254.0
nivāsetvā	253.0
ceteti	253.0
abhikkantaṃ	253.0
visākha	252.0
sutta	252.0
tāvatiṃsa	252.0
amanāpa	252.0
vedayita	252.0
bahulaṃ	250.0
gameti	248.0
yoniso	248.0
aho	247.0
paripūreti	247.0
kalyāṇa	247.0
dhammena	246.0
kuto	245.0
kanta	245.0
pharitvā	243.0
purima	243.0
cārikā	243.0
sabbattha	242.0
accayena	242.0
sammukhā	241.0
