"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"katama"	"pron"	"interr"	""	"a pron"	"4074"	"{'katame': 1129, 'katamo': 727, 'katamā': 573, 'katamehi': 520, 'katamāni': 372, 'katamaṃ': 508, 'katamesaṃ': 125, 'katamesu': 37, 'katamena': 17, 'katamassa': 14, 'katamesānaṃ': 12, 'katamasmiṃ': 10, 'katamāhi': 8, 'katamamhi': 2, 'katamāya': 1, 'katamāsu': 1, 'katama': 18}"
"citta"	"nt"	""	"√cit 8 (think, intend)"	"a nt"	"4016"	"{'cittaṃ': 3189, 'cittassa': 322, 'citte': 307, 'cittena': 87, 'cittāni': 46, 'citta': 42, 'cittasmiṃ': 7, 'cittā': 9, 'cittamhi': 4, 'cittehi': 3}"
"samaya"	"masc"	""	"√i 1 (come, go)"	"a masc"	"3913"	"{'samayena': 1945, 'samaye': 880, 'samayaṃ': 883, 'samayo': 145, 'samayā': 60}"
"idha"	"ind"	"place"	""	""	"3870"	"{'idha': 3870}"
"loka"	"masc"	""	"√lok 8 (look)"	"a masc"	"3778"	"{'loke': 1329, 'lokaṃ': 748, 'loko': 785, 'lokasmiṃ': 454, 'lokassa': 336, 'lokā': 95, 'lokena': 10, 'lokamhi': 7, 'lokamhā': 6, 'lokānaṃ': 4, 'lokasmā': 2, 'lokesu': 1, 'loka': 1}"
"atthi"	"pr"	""	"√as 1 (be)"	"atthi pr"	"3596"	"{'atthi': 1750, 'santi': 644, 'asmā': 86, 'asi': 180, 'amha': 41, 'amhā': 18, 'asmi': 471, 'atthu': 55, 'attha': 93, 'santu': 1, 'amhi': 253, 'asma': 2, 'asmase': 2}"
"ānanda"	"masc"	"name"	"√nand 1 (delight, enjoy)"	"a masc"	"3447"	"{'ānanda': 2292, 'ānando': 715, 'ānandaṃ': 245, 'ānandassa': 109, 'ānandena': 52, 'ānande': 23, 'ānandā': 10, 'ānandehi': 1}"
"āpatti"	"fem"	""	"√pad 3 (go, step)"	"i fem"	"3443"	"{'āpatti': 3078, 'āpattiṃ': 244, 'āpattiyā': 97, 'āpattiyo': 17, 'āpattīhi': 7}"
"kāya"	"masc"	""	"√ci 5 (gather, accumulate)"	"a masc"	"3281"	"{'kāyassa': 1136, 'kāyena': 716, 'kāyaṃ': 482, 'kāye': 367, 'kāyo': 378, 'kāyā': 85, 'kāyasmiṃ': 70, 'kāya': 30, 'kāyasmā': 6, 'kāyato': 2, 'kāyamhā': 2, 'kāyesu': 1, 'kāyamhi': 1, 'kāyānaṃ': 5}"
"assa"	"opt"	""	"√as 1 (be)"	"ssa opt"	"3181"	"{'assa': 2761, 'assu': 248, 'assaṃ': 144, 'assāma': 20, 'assatha': 5, 'assasi': 3}"
"etadavoca"	"aor"	"comp vb"	""	"avoca aor"	"3168"	"{'etadavoca': 2667, 'etadavocuṃ': 386, 'etadavocaṃ': 111, 'etadavocumha': 4}"
"ahosi"	"aor"	""	"√hū 1 (be)"	"ahosi aor"	"3104"	"{'ahosi': 2163, 'ahesuṃ': 376, 'ahu': 310, 'ahosiṃ': 163, 'ahuvattha': 33, 'ahuṃ': 28, 'ahuvā': 12, 'ahumhā': 10, 'ahesumha': 5, 'ahumha': 4}"
"dukkha"	"adj"	""	"√dukkh 1 (be painful)"	"a adj"	"3094"	"{'dukkhaṃ': 1801, 'dukkhā': 475, 'dukkhassa': 284, 'dukkhāya': 201, 'dukkhe': 82, 'dukkhena': 81, 'dukkhehi': 76, 'dukkhato': 47, 'dukkhāni': 23, 'dukkhānaṃ': 20, 'dukkhesu': 2, 'dukkha': 1, 'dukkhamhā': 1}"
"dukkha"	"nt"	""	"√dukkh 1 (be painful)"	"a nt"	"3094"	"{'dukkhaṃ': 1801, 'dukkhā': 475, 'dukkhassa': 284, 'dukkhāya': 201, 'dukkhe': 82, 'dukkhena': 81, 'dukkhehi': 76, 'dukkhato': 47, 'dukkhāni': 23, 'dukkhānaṃ': 20, 'dukkhesu': 2, 'dukkha': 1, 'dukkhamhā': 1}"
"nāma"	"ind"	""	""	""	"3015"	"{'nāma': 3015}"
"catu"	"card"	""	""	"catu card"	"3012"	"{'cattāro': 1315, 'catūhi': 422, 'catunnaṃ': 442, 'cattāri': 503, 'catasso': 170, 'catūsu': 115, 'caturo': 34, 'catubbhi': 6, 'catassannaṃ': 4, 'catuhi': 1}"
"atta"	"masc"	""	""	"a2 masc"	"2920"	"{'attānaṃ': 827, 'attanā': 708, 'attā': 838, 'attano': 309, 'attani': 208, 'attaṃ': 15, 'attena': 11, 'attanaṃ': 4}"
"kathaṃ"	"ind"	"interr"	""	""	"2835"	"{'kathaṃ': 2835}"
"gotama"	"masc"	"name"	""	"a masc"	"2818"	"{'gotama': 1052, 'gotamo': 1007, 'gotamaṃ': 336, 'gotamassa': 256, 'gotamena': 119, 'gotame': 29, 'gotamā': 19}"
"pañca"	"card"	""	""	"a1 card"	"2805"	"{'pañca': 1612, 'pañcahi': 699, 'pañcannaṃ': 395, 'pañcasu': 97, 'pañcabhi': 2}"
"attha"	"masc"	""	"√ar 1 (move, attain)"	"a masc"	"2769"	"{'atthaṃ': 1396, 'attho': 532, 'atthāya': 291, 'atthe': 269, 'atthassa': 85, 'atthena': 31, 'atthato': 25, 'atthā': 35, 'atthesu': 5, 'atthānaṃ': 4, 'atthamhi': 2, 'atthamhā': 1, 'attha': 93}"
"satta"	"masc"	""	"√as 1 (be)"	"a masc"	"2714"	"{'sattā': 1114, 'satta': 885, 'sattānaṃ': 304, 'satte': 210, 'satto': 123, 'sattassa': 44, 'sattesu': 15, 'sattehi': 12, 'sattaṃ': 6, 'sattāya': 1}"
"rāja"	"masc"	""	"√rāj 1 (rule, shine)"	"rāja masc"	"2664"	"{'rājā': 1248, 'rañño': 733, 'rāja': 199, 'rājānaṃ': 181, 'rājāno': 122, 'raññā': 53, 'raññaṃ': 47, 'rājino': 26, 'raññe': 16, 'rājūhi': 13, 'rājato': 8, 'rājūnaṃ': 7, 'rājaṃ': 3, 'rājubhi': 2, 'rājūsu': 2, 'rājena': 4}"
"eka"	"card"	""	""	"eka card"	"2624"	"{'ekaṃ': 1348, 'eko': 770, 'ekā': 156, 'ekena': 131, 'ekāya': 46, 'ekassa': 53, 'ekissā': 28, 'ekasmiṃ': 6, 'ekissāya': 3, 'eka': 82, 'ekamhi': 1}"
"karoti"	"pr"	""	"√kar 7 (do, make)"	"karoti pr"	"2597"	"{'karoti': 741, 'karonti': 321, 'kareyya': 242, 'karotha': 208, 'karohi': 169, 'karissati': 164, 'karomi': 119, 'karissāmi': 149, 'karissanti': 85, 'kareyyaṃ': 57, 'kareyyuṃ': 57, 'karosi': 45, 'karissasi': 30, 'kayirātha': 26, 'kurute': 24, 'karassu': 23, 'karissāma': 30, 'karoma': 16, 'karontu': 15, 'karotu': 12, 'kare': 11, 'kareyyāma': 16, 'kareyyāsi': 16, 'kareyyātha': 6, 'kurutaṃ': 4, 'karissatha': 3, 'karissaṃ': 3, 'kareyyāmi': 2, 'karomasi': 1, 'karomase': 1, 'kuruse': 1}"
"pajānāti"	"pr"	""	"√ñā 5 (know)"	"āti pr"	"2534"	"{'pajānāti': 1939, 'pajānanti': 184, 'pajānāmi': 230, 'pajāneyyaṃ': 90, 'pajānāsi': 28, 'pajānātha': 17, 'pajāneyya': 11, 'pajānissati': 13, 'pajānissāmi': 4, 'pajānassu': 3, 'pajānāma': 12, 'pajānāhi': 3}"
"seyyathā"	"ind"	"comp"	""	""	"2509"	"{'seyyathā': 2509}"
"añña"	"pron"	""	""	"a pron"	"2465"	"{'aññaṃ': 1102, 'aññe': 349, 'añño': 270, 'aññena': 233, 'aññā': 207, 'aññassa': 89, 'aññesaṃ': 59, 'aññehi': 41, 'aññāya': 43, 'aññesu': 13, 'aññāhi': 10, 'aññato': 8, 'aññāni': 9, 'aññāsu': 7, 'aññissā': 7, 'aññāsaṃ': 4, 'añña': 13, 'aññāyaṃ': 1}"
"nu"	"ind"	"interr"	""	""	"2448"	"{'nu': 2448}"
"vadati"	"pr"	""	"√vad 1 (say, speak)"	"ati pr"	"2432"	"{'vadāmi': 1194, 'vadeyya': 703, 'vadanti': 133, 'vadeyyuṃ': 109, 'vadati': 98, 'vadeyyaṃ': 55, 'vadetha': 37, 'vadeyyāsi': 21, 'vade': 16, 'vadema': 11, 'vadeyyātha': 10, 'vademase': 8, 'vadatu': 8, 'vada': 6, 'vadeyyāma': 4, 'vadantu': 4, 'vadasi': 4, 'vadante': 4, 'vadate': 3, 'vadase': 1, 'vadantaṃ': 1, 'vadatha': 1, 'vadataṃ': 1}"
"kaci"	"pron"	""	""	"kaci pron"	"2429"	"{'kiñci': 803, 'keci': 474, 'koci': 427, 'kassaci': 163, 'kāci': 131, 'kenaci': 161, 'kañci': 76, 'kānici': 61, 'kiñcanaṃ': 37, 'kesañci': 28, 'kimhici': 15, 'kehici': 8, 'kesuci': 7, 'kismiñci': 30, 'kāsuci': 4, 'kismici': 2, 'kasmiñci': 1, 'kāyaci': 1}"
"vedanā"	"fem"	""	"√vid 8 (know, sense, feel)"	"ā fem"	"2407"	"{'vedanā': 1233, 'vedanaṃ': 546, 'vedanāya': 361, 'vedanāsu': 166, 'vedanānaṃ': 90, 'vedanāhi': 7, 'vedanāyaṃ': 3, 'vedana': 1}"
"tvaṃ"	"pron"	""	""	"tvaṃ pron"	"2394"	"{'te': 9023, 'taṃ': 10582, 'tvaṃ': 2394, 'vo': 1065, 'tumhe': 746, 'tava': 210, 'tuvaṃ': 200, 'tayā': 172, 'tumhākaṃ': 180, 'tuyhaṃ': 138, 'tumhehi': 41, 'tayi': 8, 'tumhaṃ': 7, 'tumhesu': 5, 'tavaṃ': 4}"
"samannāgata"	"adj"	""	"√gam 1 (go)"	"a adj"	"2370"	"{'samannāgato': 1834, 'samannāgatā': 367, 'samannāgataṃ': 92, 'samannāgatassa': 58, 'samannāgatena': 14, 'samannāgatānaṃ': 5}"
"bhikkhunī"	"fem"	""	"√bhikkh 1 (beg)"	"ī fem"	"2349"	"{'bhikkhuniyo': 969, 'bhikkhunī': 724, 'bhikkhuniyā': 281, 'bhikkhuniṃ': 150, 'bhikkhunīnaṃ': 134, 'bhikkhunīhi': 67, 'bhikkhunīsu': 20, 'bhikkhuni': 4}"
"tattha"	"ind"	"place"	""	""	"2295"	"{'tattha': 2295}"
"ekamantaṃ"	"ind"	"comp"	""	""	"2275"	"{'ekamantaṃ': 2275}"
"samaṇa"	"masc"	""	"√sam 3 (exert, strive)"	"a masc"	"2218"	"{'samaṇo': 942, 'samaṇā': 408, 'samaṇassa': 244, 'samaṇaṃ': 227, 'samaṇena': 96, 'samaṇesu': 74, 'samaṇa': 79, 'samaṇe': 59, 'samaṇehi': 48, 'samaṇānaṃ': 34, 'samaṇebhi': 7}"
