nisīdiṃsu	251
pācittiyanti	251
sīlavā	251
sugato	250
pācittiyaṃ	250
bahulaṃ	250
sammappaññāya	249
pacchā	248
yoniso	248
sammāsambuddhassa	247
aho	247
brāhmaṇassa	246
ānandaṃ	245
ehi	245
saddhā	245
yesaṃ	245
garuṃ	245
rūpāni	244
purisaṃ	244
ādīnavo	244
āpattiṃ	244
vimuccati	244
abhijjhādomanassaṃ	244
dibbena	243
esā	243
pharitvā	243
sukhā	243
dukkhanti	242
bhaṇati	242
puggalaṃ	242
bhikkhunīti	242
kāmā	241
samaṇassa	241
paññā	241
veditabbo	241
kāmehi	240
khīṇā	240
panāhaṃ	240
vutto	240
tāya	240
itthī	239
paṭhamo	239
nirujjhati	239
sammukhā	239
desessāmi	239
anussarati	238
puggalā	238
anekapariyāyena	237
tatiyampi	237
aññamaññaṃ	237
pure	237
udāyi	237
paṭissutvā	237
tampi	236
rūpā	236
pahānā	235
bhaṇantassa	235
a	234
vedayitaṃ	234
saṃyojanānaṃ	233
paññāyati	232
vāseṭṭha	232
anattā	232
pattaṃ	231
santaṃ	231
hidaṃ	231
saṃsandanti	231
tāva	230
mahato	230
pariyāyena	229
cārikaṃ	229
idhāvuso	229
vadamāno	228
ārocesuṃ	228
paribbājako	228
aveccappasādena	228
bhāsitassa	227
paññāvimuttiṃ	227
nibbānaṃ	227
cunda	227
paṭipadāti	226
rūpe	226
sāvakānaṃ	225
samaṇaṃ	225
bhayaṃ	224
aṭṭhaṅgiko	224
pahīnā	223
ayye	223
ṭhānehi	223
nissaraṇaṃ	223
etassa	222
upādāya	222
doso	222
añño	222
saṃvattanti	222
sudaṃ	221
māṇava	221
mātugāmo	220
paribbājakā	220
kareyya	219
ceteti	219
samenti	219
saṅkhāre	219
uppannā	218
pāpaṃ	218
hotu	218
addasā	218
paṭisañcikkhati	218
bahū	217
upāsako	217
kāmesu	217
sabbattha	216
uddiseyyātha	216
rattiṃ	216
paṭisaṃvedeti	216
dhammena	216
panāti	215
ādikammikassāti	215
dukkhanirodhagāminī	214
yvāyaṃ	213
pahīno	213
samatikkamma	213
vusitaṃ	212
caritvā	212
pare	212
pasenadi	212
panassa	211
kosalo	211
akusalānaṃ	210
satte	210
ahampi	210
yathābhataṃ	210
mātā	209
paṭipadaṃ	209
rājakumāra	209
attani	208
lokoti	208
accayena	207
nāgo	207
māṇavo	207
avoca	207
idameva	207
āyasmatā	206
addhā	206
adhigamāya	206
bhikkhūhi	205
kuto	205
vācā	205
dissati	205
appahāya	205
vadesi	204
idampi	204
bālo	204
sammāsamādhi	204
tava	204
bhavantaṃ	203
vihāraṃ	202
attamanā	202
sikkhitabbaṃ	202
pubbenivāsaṃ	201
bhoge	201
āgamma	201
yampidaṃ	201
pakkāmi	200
upanissāya	200
chandaṃ	200
bahuṃ	199
acchariyaṃ	199
attamano	199
saṅghaṃ	198
jānaṃ	198
thullanandā	198
vipāko	198
upeti	198
disaṃ	198
tamahaṃ	197
bhāsitā	197
vāyamati	197
maññatha	197
nūna	197
passa	197
pitā	196
moghapurisa	196
tveva	196
jāyati	196
datvā	196
jīvaṃ	196
yāvatā	196
nirodho	196
udakaṃ	195
sammodi	194
adinnādānā	194
ettāvatā	194
cattārome	194
paṭiviratā	194
maraṇaṃ	193
vacanaṃ	193
moghapurisā	193
saddho	193
diṭṭhaṃ	193
vaccha	193
kātuṃ	192
devo	192
āmasati	192
moghamaññanti	192
tathāgataṃ	192
panāniccaṃ	192
maññe	191
padakkhiṇaṃ	190
parisā	190
gāmaṃ	190
phalaṃ	190
cāpi	190
tamhā	190
appekacce	190
gahapatayo	190
duccaritaṃ	190
sāmaṃ	189
saṃvijjamānā	189
samādhi	188
nikkhitto	188
manussānaṃ	187
yepi	187
rāhula	187
kammānaṃ	187
viññāṇassa	187
bhāradvāja	187
hutvā	186
uttari	186
therā	186
buddhe	186
samudayo	186
tatheva	185
tuṇhī	185
sakkā	185
virāgāya	185
puthujjano	185
parikkhayā	185
samanupassāmi	185
sutavā	185
metaṃ	184
yehi	184
aparena	184
nirodhāya	184
etasmiṃ	184
ummattakassa	184
jīvitaṃ	184
tatiyo	184
bhariyā	184
paresaṃ	184
ārabbha	184
anāsavaṃ	184
tuvaṃ	184
pariyādāya	184
nesohamasmi	184
pajānanti	184
rāja	184
divā	183
musāvādā	183
dhammiyā	182
gaccha	182
jīvitā	182
jātiyā	182
parihāyanti	182
bhabbo	182
meso	182
parisuddhaṃ	181
manāpā	181
pañcime	181
jivhāya	181
deve	181
bhāvanāya	181
rājānaṃ	180
viya	180
niraye	180
sīlaṃ	180
bhāvetabbā	180
paññattaṃ	179
sakaṃ	179
moho	179
abbhutaṃ	179
jānanti	179
appamatto	179
ariyasaccaṃ	179
tehi	178
putto	178
puggalassa	178
caranti	178
pītisukhaṃ	177
virāgā	177
anupādāya	177
paṭiggaṇhāti	177
arahanto	177
adhivacanaṃ	177
dinnaṃ	177
yāvadeva	177
pāṭikaṅkhā	177
paṇītaṃ	176
kusalānaṃ	176
gaccheyya	176
jhāyī	176
uppanno	175
paññatte	174
balaṃ	174
thullaccayassa	173
puññaṃ	173
sampajānamusā	173
āyasmanto	173
phasso	173
nappajānanti	173
tayā	172
seyyo	172
viññū	172
bhiyyo	172
aṭṭhāsi	171
udānaṃ	170
dukkhāya	170
gato	170
jānato	169
esa	169
kittāvatā	169
sataṃ	169
veramaṇī	169
avijjā	168
ambho	168
aññena	168
dhammassa	168
dhammānupassī	168
mahāmoggallāno	167
agāraṃ	167
āpanno	167
vinaye	167
eke	167
bhagavati	167
aññatitthiyā	167
micchādiṭṭhi	167
pajānāmi	166
dvīhi	166
piyo	166
puññāni	166
assosuṃ	166
raho	166
catuttho	166
devānamindo	166
vedanāsu	166
atho	166
pubbeva	165
vipassissa	165
sikkhā	165
saha	165
pacchābhattaṃ	165
pāpakaṃ	165
vaṇṇo	165
viharanto	165
tīraṃ	165
saññaṃ	165
ṭhānametaṃ	165
evarūpo	165
chetvā	165
akusalaṃ	165
khīṇāsavo	165
pahātuṃ	165
tesu	164
vuccanti	164
sassato	164
jarāmaraṇaṃ	164
katamaṃ	164
evametassa	164
pariyesati	163
kassaci	163
balavā	163
saṃyojanaṃ	163
samādāya	162
varaṃ	162
tiriyaṃ	162
vasaṃ	162
mahantaṃ	162
paro	162
kevalassa	162
niṭṭhito	161
tattheva	161
pahoti	161
dukkhakkhandhassa	161
abhibhuyya	161
purisa	160
cakkhuṃ	160
domanassaṃ	160
tumhākaṃ	159
chahi	159
yakkho	159
meti	159
bahussuto	159
bhāsissāmīti	159
rūpānaṃ	159
upekkhako	158
kāme	158
ajja	158
ariyassa	158
tasseva	158
āgacchati	158
dhāreti	158
sukhadukkhaṃ	158
cakkhu	158
vivekanissitaṃ	158
jātiṃ	157
khādanīyaṃ	157
ma	157
disāya	157
yasmā	157
ajjatagge	156
desitaṃ	156
ekā	156
assādañca	156
kāyānupassī	156
pajahati	156
khalu	155
sādiyati	155
vadeti	155
pucchāmi	155
kule	155
uppannassa	155
kiñca	155
ayamāyasmā	155
